,Stock Name,Change,Date,QT,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open,pricediff,results
87,ABB,4.44%,February4,1,Industrial Goods,50800000000.0,0.1657611066808126,0.06497375732838659,0.09789260897863036,0.029935648572553382,0.03519738120403417,3-Hold ,BUY,,B,ABB Ltd,Diversified Machinery,Switzerland,54.71,24.02,1522682.0,Tomorrow Before Market EPS,14.6,8.37,-11.2,6.8,23.32,3.75,15.56,33.47,1.79,3.75,-7.9,1.4,0.73,3.4,Feb 05/b,31.4,0.59,5.5,5.1,1.1,3.2,10.5,7.5,1780000.0,2170000000.0,0.24,,,4.7,0.06,2190000000.0,2.98,24.8,-4.6,10.77,0.04,-3.49,20.84,2.3,2.31,0.97,1.3,-1.76,35.63,0.29,1.17,2.41,58.7,0.89,17.52,2.84,0.88,4.44,1
88,AFL,1.63%,February4,1,Financial,39260000000.0,0.20668800845149754,0.0016623653092600376,0.0074741051539604095,0.03466584513052322,0.04380027760817029,3-Hold ,HOLD,,C,Aflac Incorporated,Accident & Health Insurance,USA,12.81,52.69,921825.0,Today After Market EPS,3.53,0.54,2.3,13.3,11.7,1.31,9.31,8.11,1.79,3.63,-2.0,,0.21,2.08,Feb 04/a,,0.21,19.8,13.9,,2.1,11.4,10.8,2840000.0,677420000.0,1.84,0.1,-4.67,65.2,-0.63,754940000.0,4.39,-0.99,-2.51,-2.16,0.35,-1.68,8.49,3.0,0.88,1.19,1.61,-7.84,10.75,0.7,0.67,0.94,52.18,0.47,-0.01,-0.43,0.37,1.63,1
89,ALL,4.00%,February4,1,Financial,39000000000.0,0.3235951154887776,-0.003209222704754211,-0.04818376429320779,-0.02017516133355457,-0.034455756563127375,3-Hold ,BUY,,A,The Allstate Corporation,Property & Casualty Insurance,USA,15.0,120.33,493421.0,Today After Market EPS,10.6,-1.98,4.1,-15.8,11.55,1.69,66.44,9.22,0.91,1.42,2.8,,0.29,1.68,Feb 04/a,,0.29,8.2,6.2,,2.3,12.3,8.6,1580000.0,322910000.0,1.35,0.1,-52.44,79.5,-0.57,327620000.0,2.76,13.91,5.52,11.87,2.12,5.87,34.04,2.4,0.84,1.21,1.33,0.2,36.35,1.45,0.83,0.93,70.21,3.61,13.95,6.49,0.15,4.0,1
90,AME,0.48%,February4,1,Industrial Goods,22840000000.0,-0.04403644614961065,0.0021794937303119305,0.02107265195425296,0.06734524151206163,0.04301371790223549,3-Hold ,BUY,,B,"AMETEK, Inc.",Diversified Machinery,USA,26.71,99.82,331595.0,Tomorrow Before Market EPS,8.2,4.64,9.4,29.4,22.55,4.58,31.06,27.03,4.46,3.26,6.2,2.0,0.5,0.57,Feb 05/b,34.7,0.46,22.7,16.6,1.5,9.5,18.7,12.4,1010000.0,227560000.0,0.87,0.3,-18.82,89.0,0.1,233720000.0,1.97,12.97,-3.06,6.62,-0.06,-2.03,33.12,2.1,0.9,1.51,1.73,-2.45,37.15,1.56,1.19,1.56,51.92,-0.39,9.58,0.35,0.56,0.48,0
91,APAM,1.01%,February4,1,Financial,2670000000.0,-0.025358309701134986,0.00039892357718989465,0.025330095979774744,0.05898340857021884,0.04274051972190592,1-Strong Buy ,HOLD,,B,Artisan Partners Asset Management Inc.,Asset Management,USA,13.81,34.47,62736.0,Today After Market EPS,1.3,13.62,27.7,32.8,11.17,14.57,15.4,23.51,3.41,10.63,3.5,,1.68,7.73,Feb 04/a,,1.68,33.5,15.3,,13.3,106.8,77.0,372750.0,53340000.0,2.59,0.1,0.0,90.5,0.65,79290000.0,3.71,19.37,3.51,23.03,1.17,4.12,48.85,2.9,0.47,1.88,2.09,-2.73,56.51,0.66,1.9,1.49,64.41,2.01,20.98,7.73,1.05,1.01,0
92,BMI,1.13%,February4,1,Technology,1770000000.0,-0.06674101777441267,0.0005534001102205366,0.003517462315357989,-0.11986195427198255,-0.012395070233247277,3-Hold ,HOLD,,C,"Badger Meter, Inc.",Scientific & Technical Instruments,USA,37.68,60.76,87502.0,Tomorrow Before Market EPS,14.9,7.39,2.2,-21.6,34.16,5.34,47.0,31.31,4.2,2.53,5.4,3.3,0.01,1.14,Feb 05/b,38.6,0.0,14.3,10.9,1.8,11.4,14.7,9.0,186510.0,28750000.0,9.47,0.3,0.0,94.3,0.15,29760000.0,14.6,10.85,-6.79,3.01,-2.09,-8.3,12.34,3.2,1.28,1.76,2.08,-8.75,22.45,1.22,0.83,1.48,43.01,-2.65,6.86,-3.09,0.65,1.13,0
93,BSX,0.92%,February4,1,Healthcare,61030000000.0,-0.3454562507800541,-0.16542191772095974,0.014169002052117971,-0.015383986492711953,0.003072214363427243,3-Hold ,STRONG BUY,,C,Boston Scientific Corporation,Medical Appliances & Equipment,USA,57.61,43.1,3549009.0,Tomorrow Before Market EPS,11.2,13.91,71.2,65.2,23.66,6.07,220.31,78.14,5.87,5.14,6.6,1.1,1.12,,Feb 05/b,70.7,0.99,15.7,10.5,0.8,4.5,11.8,10.7,6660000.0,1390000000.0,0.83,0.3,-7.76,95.7,0.37,1450000000.0,1.74,-1.22,-6.84,1.27,-0.98,-6.61,11.34,1.5,1.45,1.73,2.06,-7.55,25.49,0.84,0.85,1.42,46.59,-1.87,3.98,-2.08,0.63,0.92,0
94,BTU,22.67%,February4,1,Basic Materials,678730000.0,0.20691322348596128,0.17293660638824804,-0.13805769001269905,-0.0841854642715459,-0.08058519799521946,3-Hold ,BUY,,F,Peabody Energy Corporation,Industrial Metals & Minerals,USA,2.53,7.05,498013.0,Tomorrow Before Market EPS,,-1092.9,17.7,-43.5,,0.24,0.89,3.01,0.14,,-4.5,1.7,0.46,8.54,Feb 05/b,23.8,0.45,7.2,6.7,1.4,4.6,10.3,13.9,1810000.0,95620000.0,10.2,1.9,64.53,3.68,1.71,99960000.0,5.38,-63.14,-32.03,-35.52,-8.98,-25.55,-79.8,2.5,0.78,6.66,6.86,-79.87,9.61,0.53,,2.36,33.56,-13.23,-59.1,-21.13,1.73,22.67,1
95,CG,-0.90%,February4,1,Financial,11240000000.0,0.12284756234813747,0.0011597345437621698,-0.028899837284673893,-0.0452639829107521,-0.008562693627668448,3-Hold ,BUY,,A,The Carlyle Group Inc.,Asset Management,USA,11.47,33.33,730015.0,Tomorrow Before Market EPS,15.8,40.73,-16.7,-76.6,13.77,4.17,6.96,38.37,3.66,0.73,-11.4,,6.98,4.22,Feb 05/b,77.4,6.93,39.4,11.0,,2.6,44.7,4.6,1580000.0,342510000.0,1.5,26.49,-1.08,49.2,-0.57,349040000.0,3.26,40.31,0.56,18.04,-2.16,0.37,66.15,2.3,1.36,2.47,3.15,-4.66,92.44,0.87,1.75,1.06,58.94,2.33,30.57,7.13,2.49,-0.9,0
96,CPLP,2.47%,February4,1,Services,230190000.0,0.060406454996804575,0.0008749838467944452,0.02465017938872431,0.03264013219923072,0.02183003365146009,1-Strong Buy ,STRONG BUY,,B,Capital Product Partners L.P.,Shipping,Greece,21.68,12.32,18784.0,Tomorrow Before Market EPS,15.66,199.05,-16.1,-140.0,5.59,0.55,3.92,11.57,1.48,1.38,10.2,1.2,0.66,11.39,Feb 05/b,90.3,0.58,32.5,-87.8,1.2,-15.5,-26.0,2.0,107710.0,13650000.0,0.49,35.6,0.0,22.8,-3.04,18730000.0,0.62,10.32,-8.96,6.18,-4.58,-8.56,37.91,1.3,0.51,2.61,2.84,-13.09,46.91,0.37,1.33,0.41,38.99,-6.6,9.12,-2.41,0.01,2.47,1
97,CPRI,10.31%,February4,1,Consumer Goods,4740000000.0,0.0789933253961083,0.0011480553985165898,0.015199592382850825,-0.030456170094718495,-0.07632467535847051,4-Sell ,BUY,,F,Capri Holdings Limited,Textile - Apparel Clothing,United Kingdom,13.37,30.98,920459.0,Tomorrow Before Market EPS,4.34,7.9,2.2,-9.4,5.66,1.88,26.46,9.93,0.85,3.08,9.6,1.1,1.0,,Feb 05/b,60.6,0.75,8.4,6.1,0.5,4.6,14.3,13.1,2410000.0,144000000.0,7.82,0.4,0.0,94.1,-0.11,158820000.0,4.67,-10.15,-22.1,-4.02,-10.69,-21.83,-29.75,2.5,1.04,3.23,3.64,-38.01,22.77,1.18,0.85,4.02,30.21,-11.67,-11.11,-15.12,-0.09,10.31,1
98,DTE,0.80%,February4,1,Utilities,25800000000.0,-0.08584459250726338,0.24471248475310856,-0.06935086298835813,-0.03887381554413878,-0.05400319495137133,3-Hold ,BUY,,B,DTE Energy Company,Electric Utilities,USA,22.45,133.82,213281.0,Tomorrow Before Market EPS,6.0,6.11,10.7,9.7,20.21,2.28,339.54,15.92,1.94,3.74,8.0,0.8,1.47,3.03,Feb 05/b,,1.29,12.2,8.2,0.6,3.0,10.4,6.2,1140000.0,191120000.0,2.37,0.2,-4.92,72.4,-0.07,192890000.0,3.98,3.98,3.95,5.07,1.13,3.01,13.99,2.4,0.51,1.04,1.03,-0.57,18.69,1.41,0.24,-0.11,65.93,1.8,4.43,4.24,0.24,0.8,0
99,ENR,3.46%,February4,1,Consumer Goods,3440000000.0,0.2372417111099432,0.003099790547171973,0.000759351078158943,-0.009242961502293059,0.0551218321167523,3-Hold ,BUY,,C,"Energizer Holdings, Inc.",Personal Products,USA,57.62,49.94,163558.0,Tomorrow Before Market EPS,7.5,16.58,-21.0,-64.0,13.45,6.14,13.3,301.62,1.38,7.68,6.3,1.9,6.43,2.48,Feb 05/b,42.6,6.37,2.9,1.6,1.5,0.7,8.5,1.6,850590.0,59220000.0,19.71,1.1,6.19,,0.94,71130000.0,13.72,18.98,-0.43,13.77,0.79,-3.74,1.43,2.1,0.54,2.92,3.43,-5.45,54.09,1.38,0.67,1.18,56.8,3.72,14.55,1.3,2.51,3.46,1
100,FSV,3.46%,February4,1,Financial,4130000000.0,-0.3116395176311926,,0.004930519468871353,0.0409180189529122,0.02369152071668605,4-Sell ,HOLD,,B,FirstService Corporation,Property Management,Canada,,100.86,23046.0,Tomorrow Before Market EPS,15.0,14.9,,24.1,43.11,17.01,,,1.85,,,,,0.6,Feb 05/b,,,,,,,,,112480.0,33189999.999999996,0.19,19.81,0.0,61.56,,41500000.0,0.55,-5.41,6.74,14.05,-0.47,7.03,21.87,3.0,0.55,1.45,1.55,-9.17,23.91,1.55,,0.94,63.21,2.42,4.81,5.86,0.38,3.46,1
101,GM,0.25%,February4,1,Consumer Goods,48090000000.0,0.07994787953794003,,0.006067446032935803,0.004835589170461389,0.004835589170461389,3-Hold ,BUY,,F,General Motors Company,Auto Manufacturers - Major,USA,5.62,34.72,5028052.0,Tomorrow Before Market EPS,-2.71,31.23,18.0,4.4,5.36,1.08,1.8,5.88,0.33,,-1.1,1.0,2.34,4.51,Feb 05/b,10.7,1.56,4.7,6.1,0.8,3.8,21.1,2.6,9370000.0,1330000000.0,1.51,7.18,-0.37,78.8,-0.14,1430000000.0,2.14,-15.23,-9.79,-9.26,0.93,-7.87,-13.05,2.0,1.53,1.93,1.57,-17.17,5.26,0.67,1.37,1.87,49.7,0.31,-6.3,-2.19,1.03,0.25,0
102,GPI,-2.73%,February4,1,Services,1950000000.0,0.8368295471383524,0.07921159781264057,0.007792433118993358,0.054237249147465465,0.037615844634103716,2-Buy ,BUY,,B,"Group 1 Automotive, Inc.",Auto Dealerships,USA,12.15,102.53,37489.0,Tomorrow Before Market EPS,-3.0,3.75,12.5,19.9,9.24,1.54,47.66,8.21,0.17,,5.4,1.0,2.52,1.14,Feb 05/b,15.1,1.1,3.0,1.3,0.2,3.0,13.9,7.1,172660.0,17520000.0,12.47,2.7,-20.62,,0.02,19200000.0,12.65,24.21,1.15,2.35,-2.13,1.78,67.1,2.0,0.59,2.3,2.28,-6.92,83.12,2.4,1.72,1.62,52.63,1.31,16.2,0.3,-0.9,-2.73,0
103,HUM,5.24%,February4,1,Healthcare,45030000000.0,0.20623101506914407,0.017402094467667797,0.07084981677962787,0.05368748368342343,0.05483012649716329,3-Hold ,BUY,,C,Humana Inc.,Health Care Plans,USA,17.7,342.56,706981.0,Tomorrow Before Market EPS,14.34,4.83,10.0,-29.8,17.88,3.83,8.15,12.97,0.72,1.23,6.6,,0.55,0.66,Feb 05/b,,0.46,5.3,4.1,,9.1,22.9,12.0,1010000.0,132130000.0,1.65,0.2,-23.5,97.1,-0.03,135180000.0,2.17,13.32,-8.3,13.22,-3.98,-9.12,8.75,2.0,1.9,2.32,2.72,-9.02,51.76,8.22,0.92,1.21,41.06,-4.45,16.63,-3.66,1.58,5.24,1
104,ABMD,-1.48%,February5,1,Healthcare,8650000000.0,0.2199394426638069,0.001456263744590355,-0.005803809172357432,-0.07442086787107527,0.019544141402320747,4-Sell ,BUY,,F,"Abiomed, Inc.",Medical Appliances & Equipment,USA,39.87,189.02,345649.0,Tomorrow Before Market EPS,24.0,15.61,99.7,92.6,36.51,8.72,19.42,35.64,10.54,1.66,33.2,5.8,0.0,,Feb 06/b,82.8,0.0,30.3,26.9,5.0,20.7,23.4,23.5,852020.0,44150000.0,9.1,1.5,-1.18,93.6,-0.2,45290000.0,4.71,-6.66,14.43,-11.94,2.08,11.91,-42.22,2.0,1.11,4.02,3.26,-47.98,22.24,6.93,0.48,0.96,56.06,3.49,-11.33,4.55,-1.68,-1.48,0
105,AGCO,-8.17%,February5,1,Industrial Goods,5560000000.0,0.27308774850098416,0.01958758965088236,-0.0008863617240422171,-0.008541150779241103,-0.029462149954088086,4-Sell ,BUY,,D,AGCO Corporation,Farm & Construction Machinery,USA,18.58,73.05,107846.0,Tomorrow Before Market EPS,14.07,5.01,-10.4,22.0,13.71,1.86,19.73,25.36,0.61,1.32,-2.8,1.3,0.6,0.88,Feb 06/b,22.0,0.43,6.1,3.4,0.5,3.9,10.5,8.4,422000.0,61970000.0,4.05,1.5,-4.84,87.2,-0.26,76550000.0,5.94,4.01,-5.79,-6.47,3.52,-5.93,10.58,2.5,0.71,1.72,1.78,-10.17,17.67,1.37,0.98,1.21,49.33,0.23,-1.21,-3.53,-0.6,-8.17,0
106,AHH,1.51%,February5,1,Financial,1450000000.0,0.34771984099643305,,0.01028064577940313,0.09611172593647804,0.06590463747393945,4-Sell ,BUY,,A,"Armada Hoffler Properties, Inc.",REIT - Diversified,USA,54.46,18.7,163049.0,Tomorrow Before Market EPS,5.0,21.43,-7.2,-24.8,36.63,3.07,32.79,,6.62,10.89,6.7,,2.96,4.5,Feb 06/b,44.9,2.96,19.3,9.1,,1.3,6.7,3.3,313520.0,75750000.0,1.54,0.2,0.0,88.2,0.2,77590000.0,3.73,12.19,2.75,-0.48,-0.43,1.8,22.09,1.9,1.39,1.35,1.44,-3.76,25.42,0.28,0.53,0.48,54.6,0.64,6.77,1.79,-0.37,1.51,1
107,ALNY,-1.35%,February5,1,Healthcare,13450000000.0,0.057335848046932376,0.001967605282905944,0.1728752562594309,0.011327750979784041,-0.014434348477654315,3-Hold ,BUY,,B,"Alnylam Pharmaceuticals, Inc.",Biotechnology,USA,,121.96,189622.0,Tomorrow Before Market EPS,46.09,8.2,-39.2,-39.8,,8.12,7.82,,79.55,,9.7,5.4,0.0,,Feb 06/b,91.4,0.0,,,5.2,-37.1,-52.9,-59.7,717670.0,110720000.0,4.34,0.5,-31.19,97.9,-0.55,112130000.0,6.69,67.99,3.7,31.81,4.57,4.16,40.75,1.9,0.72,3.6,3.29,-2.96,85.37,4.0,2.45,0.86,57.32,4.11,37.73,3.88,0.83,-1.35,0
108,ARCH,-1.60%,February5,1,Basic Materials,856770000.0,0.076049419751923,0.00016226089506484902,-0.03925845448854185,0.0006731123591056199,-0.03450731796937876,3-Hold ,BUY,,F,"Arch Coal, Inc.",Industrial Metals & Minerals,USA,2.98,58.73,293544.0,Tomorrow Before Market EPS,,-9.52,19.4,-35.7,4.71,1.21,2.44,3.07,0.36,,-4.0,2.5,0.43,3.32,Feb 06/b,20.9,0.42,14.0,13.7,2.0,17.3,46.8,32.2,330600.0,14800000.0,20.95,1.0,-2.67,,,15790000.0,9.38,-29.71,-26.22,-31.34,-1.31,-24.37,-38.36,2.0,2.39,4.37,4.34,-42.53,15.41,2.57,,1.58,41.93,-5.8,-27.13,-15.3,6.26,-1.6,0
109,ARW,2.07%,February5,1,Services,6470000000.0,0.3019295452104416,0.029812430368890218,0.014175525774286747,0.009052084551209795,0.011163827866766951,4-Sell ,HOLD,,D,"Arrow Electronics, Inc.",Electronics Wholesale,USA,,78.3,131148.0,Tomorrow Before Market EPS,0.5,7.04,15.1,32.5,9.61,1.35,24.66,13.4,0.22,,6.8,1.6,0.7,,Feb 06/b,11.7,0.63,0.7,-0.3,1.1,-0.5,-1.7,10.6,530040.0,80710000.0,2.32,0.5,-26.38,95.8,-0.61,84280000.0,3.54,11.44,-9.34,-5.35,-3.79,-9.44,1.17,2.9,0.7,1.82,2.17,-9.56,25.64,1.51,1.34,1.06,39.99,-3.9,4.54,-4.81,1.01,2.07,1
110,BBU,1.81%,February5,1,Financial,3460000000.0,0.2566025490221883,,0.2698525272307961,0.10977146287262128,0.04883999863717084,1-Strong Buy ,BUY,,C,Brookfield Business Partners L.P.,Real Estate Development,Bermuda,37.87,42.72,7909.0,Tomorrow Before Market EPS,2.57,88.2,,-58.3,16.7,2.99,,,0.08,14.74,,,,0.58,Feb 06/b,,,,,,,,,28480.0,80600000.0,0.04,,,,,80890000.0,1.06,16.35,1.57,9.0,-0.23,3.59,30.25,2.3,0.77,1.56,1.47,-2.7,37.36,0.74,,0.0,56.43,1.88,9.89,2.61,0.26,1.81,1
111,BCE,2.36%,February5,1,Technology,43060000000.0,0.020334916638343463,-0.05656414563834135,0.20809173579133736,0.15977723872209834,0.09626804954068577,2-Buy ,BUY,,B,BCE Inc.,Telecom Services - Domestic,Canada,18.87,47.29,187093.0,Tomorrow Before Market EPS,2.54,5.79,4.0,-3.3,16.79,3.32,58.88,53.35,2.38,7.44,2.8,0.6,1.61,5.15,Feb 06/b,69.1,1.33,22.2,12.5,0.6,5.0,18.1,10.2,772910.0,903220000.0,0.29,0.04,0.0,52.9,-0.44,912120000.0,3.39,2.68,2.7,-0.65,-1.58,1.86,8.63,2.5,0.68,0.91,1.02,-4.58,10.7,0.44,0.39,0.4,49.95,0.43,1.16,0.1,-0.19,2.36,1
112,BCO,-9.14%,February5,1,Services,4510000000.0,0.22895879124033466,-0.3739903133007049,0.02562166009253512,0.013490684859182995,0.01981449740932199,3-Hold ,BUY,,D,The Brink's Company,Security & Protection Services,USA,68.46,87.53,43710.0,Tomorrow Before Market EPS,14.5,18.83,-20.3,-133.1,18.69,26.04,13.37,26.46,1.23,4.72,-1.6,1.4,10.34,0.69,Feb 06/b,23.0,9.82,6.6,1.8,1.4,1.9,39.0,12.3,245030.0,49320000.0,1.95,0.1,0.0,,0.36,51510000.0,3.92,2.47,-4.47,0.71,-2.03,-3.52,18.15,1.8,0.48,2.06,2.51,-9.93,25.24,1.92,1.49,1.04,41.15,-3.9,2.94,-4.28,-1.04,-9.14,0
113,BDX,-10.79%,February5,1,Healthcare,78760000000.0,0.03385391301708296,-0.2054681300905941,0.004692561696356279,0.02109418219265536,0.018315812725631986,4-Sell ,BUY,,C,"Becton, Dickinson and Company",Medical Instruments & Supplies,USA,75.71,285.21,446242.0,Tomorrow Before Market EPS,9.57,10.95,-8.9,24.4,20.42,3.65,139.15,51.11,4.56,7.91,15.4,1.2,0.92,1.11,Feb 06/b,47.9,0.86,10.2,6.3,0.7,2.1,5.1,4.3,1240000.0,270570000.0,1.53,0.2,-29.74,87.9,0.03,276890000.0,3.34,20.36,5.51,10.19,0.78,4.59,15.09,1.9,0.98,1.4,1.46,-0.26,28.99,4.19,1.09,0.66,68.9,2.85,13.19,5.98,-0.23,-10.79,0
114,BGCP,-7.46%,February5,1,Financial,3120000000.0,0.17212090702612062,0.0015145661003164908,0.003033996629407435,-0.07273760189127643,-0.05996547919944027,3-Hold ,STRONG BUY,,D,"BGC Partners, Inc.",Investment Brokerage - National,USA,80.27,5.97,598378.0,Tomorrow Before Market EPS,12.5,10.66,-2.4,199.1,8.8,2.84,7.54,,1.5,6.42,1.7,,1.54,9.43,Feb 06/b,99.0,1.53,,,,,,6.1,1790000.0,440250000.0,1.36,4.6,0.0,62.8,0.2,525750000.0,3.35,17.16,1.37,10.0,1.02,0.0,-4.19,1.5,0.9,2.31,2.55,-6.71,33.97,0.14,1.54,0.84,56.9,2.1,9.96,2.09,-0.25,-7.46,0
115,BLL,-2.36%,February5,1,Consumer Goods,24850000000.0,0.1605231822845131,0.009761172953013946,0.004572331256349571,0.08384810008266702,0.03374658119876052,4-Sell ,BUY,,A,Ball Corporation,Packaging & Containers,USA,42.14,75.82,851290.0,Tomorrow Before Market EPS,15.92,18.25,1.2,12.9,25.38,7.38,51.45,61.51,2.15,2.65,6.6,1.0,2.08,0.8,Feb 06/b,19.6,1.97,8.0,4.8,0.7,3.3,16.1,7.9,2140000.0,325330000.0,2.4,0.4,-16.6,84.6,-0.11,331300000.0,3.64,2.4,15.81,9.73,3.22,15.99,44.31,2.2,1.11,2.28,2.12,-7.38,46.35,1.56,0.65,0.81,74.53,8.29,9.92,13.31,0.29,-2.36,0
116,BMY,1.70%,February5,1,Healthcare,152770000000.0,0.11867913744312578,0.1284657046708162,0.1532890656735082,0.038577782193897285,0.034495725382075765,3-Hold ,BUY,,B,Bristol-Myers Squibb Company,Drug Manufacturers - Major,USA,18.58,65.61,4460478.0,Tomorrow Before Market EPS,14.0,40.6,14.5,28.7,10.43,5.95,4.69,31.06,6.32,1.33,6.6,3.8,1.41,2.8,Feb 06/b,70.8,1.38,35.0,23.4,3.7,12.4,35.9,25.4,18640000.0,2340000000.0,2.35,0.1,-1.76,59.7,-0.31,2380000000.0,2.95,41.67,2.41,12.47,-0.8,0.16,26.43,1.9,0.66,1.79,1.62,-3.98,54.47,1.18,0.74,0.98,57.88,0.62,25.55,4.47,1.08,1.7,1
117,BV,-1.40%,February5,1,Industrial Goods,1760000000.0,0.1665889671068206,0.028486853698268533,0.001028974513853124,0.0048238255849355465,0.01547392030889486,5-Strong Sell ,BUY,,C,"BrightView Holdings, Inc.",General Contractors,USA,38.37,16.68,46216.0,Tomorrow Before Market EPS,23.76,10.65,,176.7,12.98,1.32,45.06,22.08,0.73,1.61,,1.7,0.89,,Feb 06/b,26.5,0.88,5.4,1.8,1.6,1.5,3.6,4.8,169650.0,44370000.0,5.06,0.8,0.0,95.2,0.1,107040000.0,13.24,-12.21,0.49,-10.93,1.98,-2.43,13.13,2.0,0.75,2.95,3.27,-17.46,35.91,0.47,,1.34,56.01,1.58,-4.85,1.51,0.3,-1.4,0
118,CAH,12.22%,February5,1,Services,15700000000.0,-0.08876022613237312,-0.012365482484321028,0.007012052718588772,0.0063151680361969685,0.011963432813510215,3-Hold ,HOLD,,D,"Cardinal Health, Inc.",Drugs Wholesale,USA,,53.1,1135538.0,Tomorrow Before Market EPS,2.94,4.84,6.1,309.8,9.76,16.97,12.96,19.9,0.11,,9.8,1.1,8.88,3.72,Feb 06/b,4.6,8.18,-2.7,-2.8,0.5,-10.3,-85.2,11.7,2540000.0,292030000.0,4.14,0.3,0.0,93.0,0.01,304370000.0,4.77,13.26,4.52,2.28,-4.11,2.0,3.37,3.2,1.21,2.29,2.65,-6.52,29.59,1.24,1.38,0.97,52.24,1.07,9.89,0.62,2.07,12.22,1
119,CDW,-0.87%,February5,1,Technology,20070000000.0,0.2106870268980856,3.395503881620243e-05,0.002061377386221116,0.006179165496481194,0.03652404139559127,3-Hold ,BUY,,B,CDW Corporation,Information Technology Services,USA,28.63,135.06,309473.0,Tomorrow Before Market EPS,13.4,8.84,37.9,47.5,20.78,21.04,120.24,28.45,1.14,2.14,8.6,1.3,3.42,1.12,Feb 06/b,16.8,3.4,6.2,4.0,1.1,9.3,75.3,18.8,987220.0,142090000.0,2.12,0.7,-22.61,97.2,-0.97,147400000.0,3.05,26.62,-4.22,3.77,0.51,-4.68,61.72,2.4,0.86,1.75,2.03,-7.47,60.39,2.64,1.05,0.79,45.95,-2.25,11.9,-2.53,-1.49,-0.87,0
120,CI,2.84%,February5,1,Healthcare,75270000000.0,0.06900408985010083,-0.5064972632431558,-0.1392835199325678,-0.014518426447493231,0.012930166793042834,2-Buy ,BUY,,C,Cigna Corporation,Health Care Plans,USA,17.29,206.44,740527.0,Tomorrow Before Market EPS,13.4,9.74,15.2,8.8,10.59,1.65,16.45,12.77,0.58,1.29,8.4,,0.87,0.02,Feb 06/b,,0.76,5.7,3.3,,2.8,9.9,3.8,1800000.0,367600000.0,1.47,0.2,-2.3,90.0,0.03,382370000.0,3.01,23.81,-3.11,9.67,-4.13,-3.73,2.49,1.9,1.11,2.31,2.65,-3.6,45.63,4.96,0.78,1.64,54.26,0.6,19.83,2.39,3.31,2.84,1
121,COR,-5.30%,February5,1,Financial,4520000000.0,-0.18929274612621927,,-0.002527694245751869,0.010335615120441486,0.017529384769432,3-Hold ,BUY,,B,CoreSite Realty Corporation,REIT - Office,USA,57.46,118.11,73311.0,Tomorrow Before Market EPS,14.95,0.49,35.3,20.6,57.88,24.49,960.74,116.08,7.98,3.84,18.3,,7.66,4.08,Feb 06/b,68.4,7.66,24.8,13.5,,3.9,36.1,10.4,297150.0,25730000.0,5.0,0.6,-87.75,,,37780000.0,4.33,9.82,7.09,-0.47,0.45,6.6,20.46,2.5,0.7,1.29,1.47,-4.73,24.16,1.59,0.5,0.03,58.12,1.51,2.48,3.57,-1.45,-5.3,0
122,DNKN,-3.12%,February5,1,Services,6530000000.0,0.21475667390534767,0.17169013509555953,0.08377916309764259,-0.0008162552189374269,-0.02067933023939986,2-Buy ,HOLD,,B,"Dunkin' Brands Group, Inc.",Restaurants,USA,27.69,78.89,195621.0,Tomorrow Before Market EPS,7.86,4.95,14.8,-7.9,23.9,,12.48,46.18,4.83,3.52,13.1,1.6,,1.91,Feb 06/b,88.9,,31.7,17.5,1.6,6.4,-35.4,15.1,616240.0,82510000.0,3.69,0.2,-47.29,88.1,0.16,83180000.0,4.95,-0.52,2.45,2.55,0.18,3.98,13.68,2.6,0.86,1.32,1.25,-6.89,23.07,1.01,0.46,0.98,59.47,1.16,1.42,3.23,-0.53,-3.12,0
123,DX,3.89%,February5,1,Financial,410220000.0,0.0834565023272132,0.0009881221188455431,-0.15078870842626202,-0.12078443079813693,-0.0895652321369198,3-Hold ,HOLD,,C,"Dynex Capital, Inc.",Mortgage Investment,USA,,17.91,54209.0,Tomorrow Before Market EPS,-2.27,1.94,-15.7,-118.1,9.16,1.02,9.81,4.7,2.56,,-2.8,,11.57,10.1,Feb 06/b,33.0,0.01,,,,-5.9,-70.1,0.2,223970.0,22130000.0,4.5,1.6,1.49,57.2,0.5,23020000.0,4.44,12.08,4.58,9.12,0.68,5.19,-4.04,2.6,0.64,1.13,1.05,-4.63,29.41,0.2,0.63,0.17,60.44,0.71,8.77,3.83,0.34,3.89,1
