results,Stock Name,Change,Date,QT,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open,pricediff
0,CYBR,-12.73%,11-Feb,1,Technology,5.27B,0.051068494,0.000251186,-0.029200014,-0.013070681,0.033446067,3-Hold ,BUY,,A,CyberArk Software Ltd.,Business Software & Services,Israel,79.97,137.71,"330,411",Tomorrow Before Market EPS,18.60%,6.78%,84.50%,104.10%,49.87,9.25,10.4,42.93,12.74,4.3,39.00%,3.5,0,,Feb 12/b,85.70%,0,16.20%,16.10%,3.5,8.80%,12.80%,9.10%,593.58K,37.16M,5.10%,1.14%,0.00%,87.50%,-0.18%,37.90M,3.19,17.27%,3.13%,27.04%,0.03%,19.21%,56.21%,2,1.51,2.89%,3.08%,-7.22%,60.63%,4.2,1.01,0.73%,53.77,-1.09%,13.16%,6.90%,-1.43%,-12.73
5,ECOM,10.57%,11-Feb,1,Technology,278.98M,0.225314511,,0.003171999,-0.045947048,-0.00089627,2-Buy ,BUY,,D,ChannelAdvisor Corporation,Application Software,USA,,9.74,"194,714",Tomorrow Before Market EPS,8.00%,28.19%,28.60%,55.40%,18.43,2.95,5.79,43.59,2.15,,14.00%,2,0.02,,Feb 12/b,77.30%,0,-1.00%,-1.00%,2,-0.90%,-1.50%,-8.90%,115.56K,26.62M,0.28%,2.40%,-6.12%,84.90%,0.31%,28.94M,0.65,8.19%,2.55%,3.21%,2.55%,6.64%,-11.56%,2.3,4.56,2.55%,2.45%,-29.43%,21.85%,0.25,0.04,0.93%,56.07,0.82%,4.19%,3.97%,0.31%,10.57
2,EVK,-2.85%,11-Feb,1,Consumer Goods,20.75M,0.017021781,,-0.003269755,-0.001112655,0.00297923,,,,D,"Ever-Glory International Group, Inc.",Textile - Apparel Clothing,China,3.87,1.4,190,Tomorrow Before Market EPS,,,2.20%,114.50%,,0.18,0.45,1.96,0.05,,4.00%,1.3,0.3,,Feb 12/b,31.90%,0,1.90%,1.30%,0.9,2.00%,4.60%,7.00%,1.98K,3.98M,0.01%,0.20%,0.00%,0.50%,,14.82M,0.28,-62.57%,-16.21%,-57.96%,5.26%,-7.79%,-62.16%,,0.26,1.52%,0.00%,-63.16%,12.90%,0.08,0.32,-0.01%,46.35,-3.37%,-55.24%,-20.74%,0.00%,-2.85
4,GEO,4.02%,11-Feb,1,Financial,2.12B,0.278798587,0.023398634,0.007551363,-0.000294062,-0.02305985,,HOLD,,D,"The GEO Group, Inc.",REIT - Healthcare Facilities,USA,12.78,17.41,"355,202",Tomorrow Before Market EPS,15.00%,,2.00%,-6.60%,,2.05,39.32,103.06,0.86,0.85,8.90%,1.3,2.67,11.09%,Feb 12/b,25.10%,2.65,11.90%,6.60%,1.3,3.80%,15.80%,6.60%,1.24M,118.02M,2.87%,0.10%,-9.68%,88.60%,-0.64%,122.58M,2.74,-2.97%,13.35%,15.47%,6.85%,4.27%,-26.77%,3,0.78,2.73%,2.69%,-27.61%,30.99%,0.46,1.24,0.81%,68.62,6.69%,-1.54%,11.04%,-0.37%,4.02
3,GOLD,1.17%,11-Feb,1,Basic Materials,33.13B,0.185270447,-0.000521808,-0.087572669,0.019575499,0.033148165,3-Hold ,BUY,,A,Barrick Gold Corporation,Gold,Channel Islands,41.42,18.45,"4,825,573",Tomorrow Before Market EPS,20.25%,39.88%,32.80%,-241.00%,26.4,1.61,13.77,133.58,3.79,2.05,-10.40%,3,0.28,1.09%,Feb 12/b,25.60%,0.27,44.50%,15.90%,1.8,4.20%,9.40%,-6.90%,10.72M,1.75B,1.58%,0.10%,0.00%,72.10%,-1.44%,1.80B,2.58,1.60%,4.72%,12.65%,0.82%,-0.86%,35.32%,2.1,1.22,2.33%,2.24%,-7.92%,58.63%,0.45,-0.27,-0.33%,55.74,1.55%,11.48%,3.29%,0.60%,1.17
3,GPN,0.03%,11-Feb,1,Services,61.77B,0.650406636,0.212139117,0.007559178,-0.003919053,-0.008830603,3-Hold ,BUY,,A,Global Payments Inc.,Business Services,USA,87.49,203.5,"712,689",Tomorrow Before Market EPS,19.77%,22.51%,9.80%,35.20%,27.05,1.3,29.03,40.38,16.24,4.43,5.70%,1.2,0.34,0.38%,Feb 12/b,64.70%,0.32,20.00%,10.60%,1.2,1.80%,4.10%,6.50%,1.54M,298.72M,1.61%,0.50%,-2.84%,91.90%,-0.19%,301.87M,3.12,27.84%,6.93%,21.10%,3.32%,12.09%,78.10%,1.8,1.26,1.73%,2.02%,-0.87%,76.56%,3.83,1,0.25%,65.3,2.61%,21.25%,8.14%,-0.77%,0.03
4,IPG,5.35%,11-Feb,1,Services,9.05B,0.15679436,0.003303543,0.031025582,0.048349649,0.038974111,3-Hold ,HOLD,,D,"The Interpublic Group of Companies, Inc.",Advertising Agencies,USA,13.87,23.11,"1,203,778",Tomorrow Before Market EPS,5.20%,5.41%,21.30%,14.00%,11.65,3.63,17.39,11.95,0.89,2.67,6.40%,1,1.46,4.06%,Feb 12/b,14.90%,1.36,10.00%,6.40%,1,4.10%,27.20%,12.20%,2.92M,385.21M,7.02%,0.20%,-13.08%,,0.24%,390.93M,9.26,9.25%,0.00%,2.16%,1.67%,0.26%,4.75%,2.7,1.12,1.72%,1.90%,-4.37%,18.07%,0.43,1.06,0.39%,48.93,-1.15%,4.42%,0.42%,-0.67%,5.35
4,IQV,3.88%,11-Feb,1,Healthcare,31.73B,0.038925554,0.000136064,0.017931002,0.019145402,0.043868293,3-Hold ,BUY,,C,IQVIA Holdings Inc.,Medical Laboratories & Research,USA,136.46,163.14,"502,527",Tomorrow Before Market EPS,14.55%,13.81%,-9.50%,-23.00%,22.05,5.07,34.49,47.5,2.92,9.38,15.30%,1.1,1.88,,Feb 12/b,34.40%,1.87,7.30%,2.20%,1.1,1.10%,3.80%,3.60%,1.27M,185.08M,1.76%,0.30%,-8.77%,93.30%,0.67%,198.40M,2.56,2.52%,0.27%,16.03%,3.01%,3.51%,24.16%,1.7,1.07,1.51%,1.76%,-0.83%,26.47%,2.64,0.89,0.66%,64.08,2.52%,8.91%,5.78%,1.11%,3.88
3,JCTCF,1.77%,11-Feb,1,Industrial Goods,25.28M,,,0.001153401,0.000727701,0.000962474,,,,C,Jewett-Cameron Trading Company Ltd.,"Lumber, Wood Production",USA,17.18,7.34,102,Tomorrow Before Market EPS,,,9.60%,-24.70%,,1.45,2.81,,0.58,,1.40%,13.5,0,,Feb 12/b,22.30%,0,5.30%,4.00%,8.4,7.90%,8.50%,9.60%,2.69K,2.92M,0.34%,0.90%,-90.82%,43.90%,-24.77%,3.39M,3.68,6.24%,-3.27%,-2.22%,-1.48%,-3.27%,-20.40%,,0.1,1.36%,1.95%,-21.24%,5.61%,0.14,0.49,-2.66%,36.23,-5.19%,-7.70%,-6.59%,1.10%,1.77
1,KALA,-4.46%,11-Feb,1,Healthcare,236.37M,0.142953529,0.001931291,0.015762538,0.009452609,0.007308997,1-Strong Buy ,BUY,,C,"Kala Pharmaceuticals, Inc.",Biotechnology,USA,,6.47,"183,421",Tomorrow Before Market EPS,32.80%,22.10%,-40.40%,59.20%,,5.19,2.42,,48.24,,,6.3,0,,Feb 12/b,74.20%,1.65,,,5.9,-51.50%,-134.00%,,621.95K,33.97M,15.44%,1.38%,0.00%,83.90%,3.62%,36.17M,8.43,30.18%,38.45%,76.15%,0.69%,77.10%,0.38%,1.7,0.81,11.21%,8.99%,-30.11%,99.54%,0.63,,2.07%,55.91,0.63%,30.29%,27.23%,-3.07%,-4.46
0,KMDA,-8.56%,11-Feb,1,Healthcare,317.43M,0.123452552,0.000597038,0.00327293,0.002862607,0.002848048,3-Hold ,,,B,Kamada Ltd.,Biotechnology,Israel,8.16,7.03,"12,018",Tomorrow Before Market EPS,6.00%,-36.40%,117.91%,0.00%,20.37,2.28,,,2.21,1.36,,,,,Feb 12/b,,,,,,,,,74.62K,24.13M,0.04%,23.33%,0.00%,36.89%,,44.52M,0.13,28.11%,18.64%,35.55%,11.23%,4.39%,34.53%,,0.44,3.15%,3.20%,-12.12%,43.24%,0.24,,-0.14%,56.58,5.25%,19.70%,2.28%,-1.26%,-8.56
0,LAD,-6.07%,11-Feb,1,Services,3.33B,-0.187520461,0.007375556,0.010147021,0.010402964,0.044163946,3-Hold ,BUY,,B,"Lithia Motors, Inc.",Auto Dealerships,USA,12.91,139.32,"86,174",Tomorrow Before Market EPS,4.80%,9.74%,20.50%,-7.80%,10.57,2.33,123.03,7.76,0.27,2.69,24.20%,1.2,2.44,0.88%,Feb 12/b,15.30%,0.95,3.90%,2.10%,0.2,4.70%,20.70%,7.70%,186.87K,22.22M,11.75%,1.60%,-23.01%,,-0.15%,24.45M,13.97,6.15%,-1.82%,-12.98%,-2.45%,-7.23%,61.73%,2.1,1.25,2.87%,3.51%,-15.89%,74.31%,4.32,1.11,1.56%,44.92,-1.10%,3.66%,-6.03%,0.37%,-6.07
4,AER,5.17%,12-Feb,1,Services,7.98B,0.288620587,0.048336006,-0.133848875,-0.038492627,0.019298453,4-Sell ,BUY,,C,AerCap Holdings N.V.,"Air Services, Other",Netherlands,7.77,60.46,"151,809",Tomorrow Before Market EPS,6.57%,-4.94%,21.80%,4.00%,7.81,0.87,7.7,4.71,1.69,1.18,35.50%,,3.19,,Feb 13/b,93.10%,3.19,50.20%,22.60%,,2.40%,11.90%,5.20%,833.83K,127.69M,0.80%,3.01%,0.00%,,-8.46%,132.91M,1.22,13.93%,-0.81%,-0.65%,1.64%,-2.33%,29.98%,2.1,0.5,1.96%,1.79%,-4.03%,50.29%,1.23,1.8,0.65%,52.85,1.22%,9.85%,-0.38%,-0.12%,5.17
4,AGIO,3.73%,12-Feb,1,Healthcare,3.29B,-0.120286375,0.000219139,0.019550709,0.021253446,0.054308774,3-Hold ,BUY,,D,"Agios Pharmaceuticals, Inc.",Biotechnology,USA,,48.17,"88,871",Tomorrow Before Market EPS,40.00%,7.20%,-16.40%,10.80%,,6.41,7.28,,29.26,,29.90%,5.3,0,,Feb 13/b,98.50%,0,,,5.2,-50.70%,-70.10%,,787.29K,59.32M,15.04%,2.90%,25.67%,96.20%,1.27%,67.37M,11.34,14.13%,1.10%,45.59%,-1.99%,2.32%,-9.65%,1.8,0.31,3.82%,3.20%,-30.08%,69.96%,1.83,2.51,0.51%,43.86,-5.49%,11.17%,0.55%,-1.85%,3.73
1,AIG,-3.15%,12-Feb,1,Financial,47.34B,0.007653289,,-0.067795533,-0.053029078,-0.018407074,3-Hold ,BUY,,B,"American International Group, Inc.",Property & Casualty Insurance,USA,27.07,54.66,"1,370,214",Tomorrow Before Market EPS,66.76%,8.64%,-63.40%,-93.90%,10.89,0.73,14.09,,0.93,0.41,-7.20%,,0.54,2.35%,Feb 13/b,,0.54,9.90%,3.50%,,0.30%,2.90%,1.60%,4.08M,868.89M,1.89%,0.10%,-0.86%,92.50%,-2.00%,869.14M,4.02,-1.11%,4.69%,-2.58%,7.54%,6.12%,26.53%,2.3,0.96,1.74%,1.76%,-6.89%,36.55%,1,1.08,0.79%,66.49,5.22%,2.49%,5.74%,-0.51%,-3.15
5,AIMC,6.37%,12-Feb,1,Industrial Goods,2.32B,0.015032164,0.000394583,0.001764678,0.004958245,0.000736132,4-Sell ,BUY,,C,Altra Industrial Motion Corp.,Industrial Electrical Equipment,USA,26.6,35.33,"99,361",Tomorrow Before Market EPS,15.10%,-3.89%,-9.30%,-38.70%,12.87,1.21,13.82,15.87,1.25,1.76,10.20%,2.1,0.87,1.94%,Feb 13/b,35.00%,0.86,10.20%,4.60%,1.4,2.00%,4.50%,1.90%,297.93K,63.85M,2.26%,0.70%,-3.72%,,1.24%,66.32M,4.84,41.59%,-2.89%,4.48%,1.83%,-3.34%,17.92%,1.7,0.93,2.19%,2.61%,-7.55%,47.63%,0.81,2,1.54%,50.98,0.52%,10.31%,0.55%,-0.76%,6.37
2,ALE,-2.76%,12-Feb,1,Utilities,4.28B,0.315736969,0.078383445,0.020889248,0.011994981,0.010905056,,HOLD,,C,"ALLETE, Inc.",Diversified Utilities,USA,19.89,81.85,"48,416",Tomorrow Before Market EPS,7.00%,5.06%,5.10%,8.30%,22.37,1.92,42.72,,3.09,2.84,8.10%,0.6,0.73,3.01%,Feb 13/b,87.60%,0.64,15.50%,14.20%,0.4,3.80%,9.00%,6.00%,241.82K,51.33M,1.18%,0.20%,-11.24%,74.00%,-0.10%,52.14M,2.51,-2.93%,1.63%,2.89%,-1.36%,1.23%,6.51%,2.7,0.55,1.10%,0.91%,-7.48%,8.34%,0.91,0.17,-0.06%,47.44,-1.44%,-2.16%,0.59%,-0.18%,-2.76
0,ALKS,-6.36%,12-Feb,1,Healthcare,3.04B,0.241851026,0.002449754,0.000322119,0.004039315,0.001582262,3-Hold ,HOLD,,D,Alkermes plc,Biotechnology,Ireland,,18.99,"221,624",Tomorrow Before Market EPS,29.50%,-2.28%,-56.50%,-0.90%,37.09,2.81,5.17,218.39,2.83,,20.40%,2.7,0.26,,Feb 13/b,83.00%,0.26,-15.40%,-18.70%,2.4,-11.30%,-18.10%,-7.70%,1.59M,156.23M,3.41%,0.60%,-36.15%,97.30%,0.49%,158.93M,3.34,-11.41%,-2.15%,-5.02%,9.02%,-6.37%,-39.13%,2.7,0.38,4.24%,5.25%,-49.64%,12.15%,0.75,2.05,0.21%,51.01,2.83%,-10.72%,-3.36%,-0.68%,-6.36
2,ALYA,-2.67%,12-Feb,1,Technology,151.89M,0.008806675,0.000181901,0.228563041,0.153442186,0.165163932,3-Hold ,,,C,Alithya Group Inc.,Information Technology Services,Canada,,3.15,"3,055",Tomorrow Before Market EPS,15.00%,,-18.75%,,28.45,3.85,,,,,,,,,Feb 13/b,,,,,,,,,16.76K,39.67M,0.04%,29.12%,0.00%,51.56%,,48.53M,0.98,8.30%,14.23%,7.93%,8.68%,12.59%,6.46%,,0.49,3.74%,4.18%,-19.02%,56.72%,0.11,,-0.96%,69.41,10.54%,12.06%,15.58%,1.61%,-2.67
3,ARES,0.94%,12-Feb,1,Financial,9.44B,-0.114095603,0.005560912,0.000272843,0.001198934,0.004289982,2-Buy ,BUY,,A,Ares Management Corporation,Asset Management,USA,51.03,40.5,"154,702",Tomorrow Before Market EPS,19.01%,26.75%,-33.50%,-52.50%,20.98,9.63,12.97,,5.99,2.68,14.90%,,17.16,3.18%,Feb 13/b,,17.16,21.30%,8.00%,,1.20%,36.40%,0.70%,457.62K,193.19M,2.09%,3.10%,-43.23%,67.80%,0.61%,234.40M,8.82,45.87%,11.18%,27.45%,5.64%,12.80%,89.19%,2.1,0.93,2.49%,2.25%,0.54%,90.65%,1,1.64,0.60%,72.83,8.47%,35.31%,13.96%,0.22%,0.94
2,AYR,-0.12%,12-Feb,1,Services,2.41B,0.136409187,0.000336753,0.000145509,0.00014523,0.001698746,3-Hold ,HOLD,,A,Aircastle Limited,Rental & Leasing Services,USA,11.51,32.22,"176,379",Tomorrow Before Market EPS,3.04%,17.68%,51.20%,72.50%,12.27,1.17,9.48,,2.59,3.79,3.80%,,2.55,3.98%,Feb 13/b,97.40%,2.55,41.40%,15.30%,,1.70%,7.10%,6.70%,433.79K,51.21M,1.30%,1.70%,0.00%,61.10%,1.77%,74.95M,1.53,56.49%,0.41%,-0.19%,0.00%,0.56%,56.26%,3,1.13,0.15%,0.12%,-0.75%,72.97%,0.05,1.47,0.09%,66.81,0.33%,28.65%,0.46%,0.02%,-0.12
2,BABA,-0.88%,12-Feb,1,Services,594.48B,0.328161557,0.016751436,0.010543433,-0.036783629,-0.036783629,2-Buy ,BUY,,B,Alibaba Group Holding Limited,"Specialty Retail, Other",China,26.07,224.06,"9,076,582",Tomorrow Before Market EPS,3.63%,22.66%,27.50%,36.20%,24.23,6.53,17.19,,9.32,7.18,48.30%,1.4,0.24,,Feb 13/b,45.60%,0.2,18.10%,34.30%,1.4,15.00%,29.40%,6.50%,15.28M,213.51M,12.44%,33.50%,0.00%,47.60%,0.68%,2.74B,1.74,36.34%,-2.96%,16.06%,-2.54%,2.41%,29.72%,1.6,1.61,2.13%,2.24%,-3.03%,51.50%,5.82,2.32,1.72%,59.02,3.05%,22.89%,5.24%,1.44%,-0.88
3,BAM,2.40%,12-Feb,1,Financial,65.45B,0.154283615,0.000260811,0.005606144,0.014315297,-0.015858063,,BUY,,A,Brookfield Asset Management Inc.,Real Estate Development,Canada,17,64.44,"337,700",Tomorrow Before Market EPS,4.14%,36.04%,11.00%,161.40%,20.4,2.09,8.62,19.47,0.99,4.11,23.10%,,4.57,1.00%,Feb 13/b,21.90%,4.14,9.30%,5.60%,,1.30%,13.70%,5.10%,1.14M,827.50M,0.52%,12.90%,0.00%,61.40%,0.34%,1.02B,3.77,27.23%,10.16%,14.03%,2.50%,11.23%,49.10%,2,0.83,1.34%,1.16%,-0.22%,52.47%,0.86,1.07,0.30%,72.23,3.49%,21.55%,8.06%,0.09%,2.4
3,BPMC,0.97%,12-Feb,1,Healthcare,3.42B,0.823550899,0.00014433,0.008251234,-0.005680601,0.002138866,3-Hold ,BUY,,D,Blueprint Medicines Corporation,Biotechnology,USA,,64.46,"179,058",Tomorrow Before Market EPS,22.27%,-14.80%,-42.40%,-37.60%,,5.98,6.92,,213.46,,,5.5,0,,Feb 13/b,,0,,,5.5,-55.00%,-77.30%,-59.00%,699.03K,52.65M,7.02%,0.40%,-28.65%,96.50%,0.30%,54.16M,5.28,-29.23%,-23.30%,-13.92%,-1.38%,-21.28%,-13.06%,1.7,0.71,4.77%,4.03%,-37.23%,6.67%,3.12,1.58,0.95%,41.21,-5.34%,-19.32%,-12.93%,1.54%,0.97
2,BRG,-2.56%,12-Feb,1,Financial,267.28M,0.412788533,0.000642459,0.000315572,0.00059202,0.007252504,3-Hold ,BUY,,B,"Bluerock Residential Growth REIT, Inc.",REIT - Residential,USA,,11.77,"31,386",Tomorrow Before Market EPS,10.00%,-181.40%,7.90%,-0.30%,,4.09,6.24,8.17,1.29,,72.60%,,19.51,5.51%,Feb 13/b,61.80%,19.51,14.40%,-9.00%,,-0.90%,-28.00%,2.00%,168.10K,22.26M,1.90%,0.41%,0.00%,63.10%,-0.46%,22.67M,2.51,-3.28%,-1.26%,1.55%,1.20%,-2.16%,16.73%,1.7,0.54,1.96%,1.78%,-6.99%,17.35%,0.23,0.47,0.08%,47.05,-1.06%,-0.50%,-1.40%,-0.25%,-2.56
3,BWA,0.91%,12-Feb,1,Consumer Goods,7.08B,-0.146597649,0.033706778,0.008938287,-0.009845516,0.010791311,3-Hold ,BUY,,D,BorgWarner Inc.,Auto Parts,USA,9,34.04,"1,381,626",Tomorrow Before Market EPS,-0.51%,0.83%,10.20%,30.00%,8.5,1.57,7.73,9.37,0.7,,7.20%,1.6,0.47,1.99%,Feb 13/b,20.60%,0.37,10.70%,7.40%,1.3,7.40%,17.40%,15.20%,1.89M,204.97M,3.14%,0.74%,0.00%,95.60%,-0.43%,207.66M,3.4,3.30%,-17.65%,-26.34%,-0.93%,-21.37%,-12.13%,2.2,1.98,2.51%,2.64%,-27.00%,10.77%,1.03,1.84,1.26%,25.86,-8.55%,-12.92%,-16.66%,-1.51%,0.91
2,CBB,-1.99%,12-Feb,1,Technology,654.40M,0.150040307,0.00151257,-0.006614224,-0.002294083,-0.007302507,3-Hold ,HOLD,,B,Cincinnati Bell Inc.,Telecom Services - Domestic,USA,,13.04,"35,913",Tomorrow Before Market EPS,35.80%,48.30%,1.10%,-301.80%,,,100.68,19.48,0.42,,5.10%,0.8,,,Feb 13/b,49.10%,,5.30%,-5.60%,0.6,-3.20%,37.00%,4.20%,898.80K,47.56M,18.51%,1.90%,-7.50%,,0.92%,50.30M,9.8,168.25%,21.14%,140.48%,-0.69%,24.26%,56.18%,3,0.11,2.56%,2.12%,-6.92%,308.78%,0.35,1.34,0.69%,69.02,3.50%,94.03%,26.88%,-0.46%,-1.99
2,CX,-1.94%,12-Feb,1,Industrial Goods,6.56B,0.030566293,0.000263044,0.017736273,0.017736273,-0.04236828,2-Buy ,BUY,,D,"CEMEX, S.A.B. de C.V.",Cement,Mexico,31.99,4.11,"12,415,936",Tomorrow Before Market EPS,,12.37%,22.70%,-11.70%,13.68,0.68,14.55,0.37,0.48,,7.80%,0.7,1,2.30%,Feb 13/b,33.00%,0.92,33.80%,-2.60%,0.5,-0.20%,-0.70%,5.90%,6.08M,461.45M,2.12%,60.00%,0.00%,32.30%,-0.70%,1.51B,1.61,43.56%,13.58%,13.58%,1.64%,15.08%,-11.22%,2.4,5.51,3.61%,3.24%,-20.08%,45.39%,0.14,1.28,-5.29%,50.43,-1.28%,4.95%,4.78%,-0.49%,-1.94
4,DAN,4.27%,12-Feb,1,Consumer Goods,2.41B,0.359882674,0.15430557,0.009355243,0.031377411,0.01636801,3-Hold ,BUY,,D,Dana Incorporated,Auto Parts,USA,9.79,16.74,"545,584",Tomorrow Before Market EPS,3.56%,1.23%,106.50%,47.10%,5.35,1.31,5.71,13.93,0.28,2.75,3.80%,1.6,1.38,2.46%,Feb 13/b,13.50%,1.31,3.50%,2.80%,1,3.50%,15.30%,16.00%,1.18M,143.22M,2.66%,0.20%,-31.27%,98.80%,-0.61%,148.35M,3.24,20.30%,-1.87%,-8.87%,-0.49%,-10.77%,-2.87%,1.9,1.26,3.15%,3.19%,-20.32%,44.34%,0.57,2.33,2.52%,50.52,2.48%,2.06%,-2.84%,0.30%,4.27
5,DAVA,13.09%,12-Feb,1,Technology,2.58B,0.238024116,0.001319682,0.002245836,0.003842287,0.034780064,3-Hold ,BUY,,A,Endava plc,Business Software & Services,United Kingdom,55.45,47.3,"43,849",Tomorrow Before Market EPS,0.23%,17.96%,,33.90%,35.33,10.62,23.69,48.96,6.57,242.15,,2.4,0.21,,Feb 13/b,34.90%,0.16,13.10%,12.00%,,16.10%,22.30%,16.20%,102.28K,15.19M,0.38%,2.65%,0.00%,88.30%,1.48%,53.98M,0.56,28.95%,4.07%,19.56%,1.55%,2.58%,98.84%,2.4,1.18,3.62%,3.79%,-4.38%,105.22%,1.6,,0.42%,55.35,2.00%,17.54%,1.67%,-0.90%,13.09
3,DLPH,0.91%,12-Feb,1,Consumer Goods,1.32B,0.04481184,0.001140812,0.000643745,-0.004307123,-0.002678411,3-Hold ,HOLD,,C,Delphi Technologies PLC,Auto Parts,United Kingdom,7.06,15.13,"611,232",Tomorrow Before Market EPS,,-12.68%,,23.00%,7.54,3.67,12.66,,0.29,,2.00%,1.3,4.2,,Feb 13/b,15.50%,4.08,5.60%,4.30%,0.9,5.00%,56.40%,24.40%,2.04M,85.79M,7.39%,0.32%,-2.62%,,4.29%,86.77M,3.11,2.50%,33.66%,11.87%,-1.24%,18.24%,-10.97%,2.8,0.81,4.00%,2.66%,-43.64%,58.85%,0.67,,1.52%,62.49,14.57%,-0.59%,16.90%,-1.85%,0.91
3,DUK,1.38%,12-Feb,1,Utilities,74.00B,0.098507948,0.039789354,0.012720154,-0.008752851,-0.016735513,2-Buy ,HOLD,,B,Duke Energy Corporation,Electric Utilities,USA,20.04,97.93,"1,128,545",Tomorrow Before Market EPS,4.61%,2.65%,0.60%,-10.70%,18.81,1.59,181.82,,2.95,4.34,1.50%,0.7,1.36,3.90%,Feb 13/b,69.80%,1.23,21.80%,14.00%,0.5,2.30%,8.00%,4.20%,3.81M,757.28M,5.13%,0.07%,-5.18%,59.40%,0.20%,762.98M,10.22,8.37%,7.24%,7.83%,0.40%,6.34%,7.56%,2.7,0.81,1.02%,0.91%,-0.11%,16.21%,0.97,0.15,-0.01%,72.51,2.28%,7.65%,6.13%,0.99%,1.38
1,EEX,-4.18%,12-Feb,1,Services,768.29M,0.344521964,0.008363414,0.000937886,-0.079216384,-0.046924469,3-Hold ,HOLD,,F,"Emerald Expositions Events, Inc.",Business Services,USA,,10.46,"7,367",Tomorrow Before Market EPS,-10.31%,0.99%,,-184.30%,11.39,1.05,56.49,11.89,2.06,,,0.5,0.74,2.87%,Feb 13/b,67.20%,0.73,-17.80%,-19.20%,0.5,-4.60%,-9.90%,0.30%,97.51K,23.83M,2.20%,0.40%,0.00%,,0.60%,73.45M,5.38,9.87%,-0.38%,3.98%,-0.85%,-0.85%,-27.11%,3,0.2,2.24%,2.34%,-28.16%,14.69%,0.24,,0.86%,49.77,-0.96%,-1.20%,0.54%,-0.85%,-4.18
0,EVLO,-10.55%,12-Feb,1,Healthcare,144.27M,0.015183673,,-0.29720192,-0.29720192,-0.125288969,3-Hold ,BUY,,C,"Evelo Biosciences, Inc.",Biotechnology,USA,,5.04,"71,149",Tomorrow Before Market EPS,,1.60%,,-78.40%,,1.71,1.49,,,,,10.5,0.24,,Feb 13/b,,0.24,,,10.5,-58.10%,-71.80%,,84.99K,30.06M,6.55%,0.81%,0.00%,86.40%,0.04%,33.63M,23.16,-29.44%,1.66%,-34.80%,-14.20%,5.67%,-51.91%,2,2.37,11.71%,11.30%,-50.47%,39.60%,0.58,,7.23%,49.47,-5.83%,-22.12%,7.80%,8.64%,-10.55
2,ABR,-1.86%,13-Feb,1,Financial,1.63B,0.047513929,0.000532083,0.00711885,0.016136234,0.041300624,4-Sell ,HOLD,,B,"Arbor Realty Trust, Inc.",Mortgage Investment,USA,10.76,15.06,"217,819",Tomorrow Before Market EPS,8.00%,4.64%,31.00%,42.30%,11,1.5,12.06,13.9,3.01,1.34,29.80%,,4.28,8.05%,Feb 14/b,66.60%,4.28,31.30%,22.60%,,2.40%,14.10%,3.50%,1.06M,102.98M,5.03%,0.30%,2.10%,44.40%,0.33%,109.49M,4.87,17.88%,2.90%,-0.67%,-2.23%,3.83%,24.17%,2.6,0.56,1.34%,1.26%,-4.50%,28.17%,0.21,0.62,0.20%,57.99,1.15%,12.28%,2.92%,0.87%,-1.86
0,AEM,-12.82%,13-Feb,1,Basic Materials,14.54B,0.358610498,0.000315034,0.043372717,0.026736962,0.019818364,3-Hold ,BUY,,A,Agnico Eagle Mines Limited,Gold,Canada,,59.42,"411,218",Today After Market EPS,61.76%,86.14%,18.80%,-235.20%,32.94,2.96,42.77,,6.38,,6.00%,1.4,0.38,1.18%,Feb 13/a,49.20%,0.3,-1.80%,-11.10%,0.7,-3.10%,-5.40%,-4.20%,1.17M,238.15M,1.62%,0.20%,0.00%,78.10%,4.44%,245.31M,3.31,1.04%,2.00%,2.52%,-0.50%,-3.77%,41.13%,2,0.95,2.53%,2.42%,-8.37%,49.90%,1.56,-0.32,0.69%,46.59,-1.54%,8.15%,-1.39%,-0.42%,-12.82
